name,price,original_price,cost,category,sub_category,icon,stock,sku,supplier_id,description,tags,brand,image_url,image_urls,is_b2b,moq,tax_mode
Armani Emporio Armani Strong With You Freeze M Edt 100Ml,100.00,0.00,0.00,cosmetics,fragrance,💄,100,02-02-02-01-239,9001,Armani Emporio Armani Strong With You Freeze M Edt 100Ml. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""armani-emporio-armani-strong-with-you-freeze-m-edt-100ml"",""Armani_Code"",""cosmetics"",""Cosmetics_and_personal_care"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",GIORGIO ARMINI,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3614272889590.jpg?v=1632646184,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3614272889590.jpg?v=1632646184"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3614272889590_2.jpg?v=1632646184""}",false,1,none
Armani (Giorgio Armani) Acqua Di Gio Profondo Edp 125Ml,150.00,0.00,0.00,cosmetics,fragrance,💄,0,02-02-02-01-305,9001,Armani (Giorgio Armani) Acqua Di Gio Profondo Edp 125Ml. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""armani-(giorgio-armani)-acqua-di-gio-profondo-edp-125ml"",""Armani_Code"",""cosmetics"",""Cosmetics_and_personal_care"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",GIORGIO ARMINI,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3614272865235.jpg?v=1632645994,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3614272865235.jpg?v=1632645994"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3614272865235_1.jpg?v=1632645994""}",false,1,none
Armani Giorgio Armani Code Absolu M Edp 110Ml,120.00,0.00,0.00,cosmetics,fragrance,💄,0,02-02-02-01-253,9001,Armani Giorgio Armani Code Absolu M Edp 110Ml. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""armani-giorgio-armani-code-absolu-m-edp-110ml"",""Armani_Code"",""cosmetics"",""Cosmetics_and_personal_care"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",GIORGIO ARMINI,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3614272544024----1.jpg?v=1632645923,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3614272544024----1.jpg?v=1632645923"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3614272407442.jpg?v=1632645922""}",false,1,none
Armani Giorgio Armani Acqua Di Gio Absolu Edp M 125M,140.00,0.00,0.00,cosmetics,fragrance,💄,100,02-02-02-01-238,9001,Armani Giorgio Armani Acqua Di Gio Absolu Edp M 125M. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""armani-giorgio-armani-acqua-di-gio-absolu-edp-m-125m"",""Armani_Code"",""cosmetics"",""Cosmetics_and_personal_care"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",GIORGIO ARMINI,https://cdn.shopify.com/s/files/1/0421/8653/9164/files/NewProject_19.png?v=1716457693,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/NewProject_19.png?v=1716457693""}",false,1,none
Gucci Guilty Pour Homme Edp 90Ml,115.00,0.00,0.00,cosmetics,fragrance,💄,100,02-02-02-01-223,9001,Gucci Guilty Pour Homme Edp 90Ml. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""cosmetics"",""Cosmetics_and_personal_care"",""gucci-guilty-pour-homme-edp-90ml"",""gucci_brand"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",GUCCI,https://cdn.shopify.com/s/files/1/0421/8653/9164/files/NewProject_17.png?v=1716456784,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/files/NewProject_17.png?v=1716456784""}",false,1,none
Calvin Klein Ck One Edt 100Ml,30.00,0.00,0.00,cosmetics,fragrance,💄,0,02-02-02-01-231,9001,Calvin Klein Ck One Edt 100Ml. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""calvin-klein-ck-one-edt-100ml"",""Calvin_Klein"",""cosmetics"",""Cosmetics_and_personal_care"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",CK,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3607343811835_1.jpg?v=1632645213,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3607343811835_1.jpg?v=1632645213"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3607343811835_2.jpg?v=1632645213""}",false,1,none
Ralph Lauren Polo deep Blue Edp M 125Ml,110.00,0.00,0.00,cosmetics,fragrance,💄,0,02-02-02-01-244,9001,Ralph Lauren Polo deep Blue Edp M 125Ml. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""cosmetics"",""Cosmetics_and_personal_care"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care"",""ralph-lauren-polo-deep-blue-edp-m-125ml""}",RALPH LAUREN,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3605972230324.jpg?v=1632644938,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3605972230324.jpg?v=1632644938""}",false,1,none
Dolce&Gabbane The One Intense Men Edp 100Ml,110.00,0.00,0.00,cosmetics,fragrance,💄,100,02-02-02-01-254,9001,Dolce&Gabbane The One Intense Men Edp 100Ml. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""cosmetics"",""Cosmetics_and_personal_care"",""dolce&gabbane-the-one-intense-men-edp-100ml"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",DOLCE&GABBANE,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3423473051756----1.jpg?v=1632644610,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3423473051756----1.jpg?v=1632644610"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3423473051756_2.jpg?v=1632644610""}",false,1,none
Dolce & Gabbana K Men Edp 150Ml,110.00,0.00,0.00,cosmetics,fragrance,💄,100,02-02-02-01-237,9001,Dolce & Gabbana K Men Edp 150Ml. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""cosmetics"",""Cosmetics_and_personal_care"",""dolce-&-gabbana-k-men-edp-150ml"",""dolce_gabbana"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",DOLCE&GABBANE,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3423220006893-1.jpg?v=1632644500,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/3423220006893-1.jpg?v=1632644500""}",false,1,none
Mont Blanc Legend Edp 100Ml,72.00,0.00,0.00,cosmetics,fragrance,💄,0,02-02-02-01-264,9001,Mont Blanc Legend Edp 100Ml. Available at Adeeg Market.,"{""all_personal_care_&_Hygiene"",""cosmetics"",""Cosmetics_and_personal_care"",""mont-blanc-legend-edp-100ml"",""perfume_spray"",""perfumes"",""perfumes_and_body_spray"",""personal_care""}",MONTBLANC,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/montblancklll.jpg?v=1664449780,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/montblancklll.jpg?v=1664449780"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/montblancklll-1.jpg?v=1664449780""}",false,1,none
